,rank,last_week_rank,hmm,title,artist,label,peak_rank,weeks_on_chart,week_of
0,1,            11,        ,RIVER,ELLIE GOULDING,POLYDOR,1,5,December 27 2019
1,2,            8,        ,ALL I WANT FOR CHRISTMAS IS YOU,MARIAH CAREY,COLUMBIA,2,99,December 27 2019
2,3,            5,        ,LAST CHRISTMAS,WHAM,RCA,2,64,December 27 2019
3,4,            14,        ,FAIRYTALE OF NEW YORK,POGUES FT KIRSTY MACCOLL,WARNER BROS,2,99,December 27 2019
4,5,            2,        ,OWN IT,STORMZY/ED SHEERAN/BURNA BOY,ATLANTIC/MERKY,2,5,December 27 2019
5,6,            16,        ,MERRY CHRISTMAS EVERYONE,SHAKIN' STEVENS,RCA,1,71,December 27 2019
6,7,            17,        ,DO THEY KNOW IT'S CHRISTMAS,BAND AID,MERCURY,1,80,December 27 2019
7,8,            19,        ,STEP INTO CHRISTMAS,ELTON JOHN,MERCURY,8,38,December 27 2019
8,9,            34,        ,HAPPY CHRISTMAS (WAR IS OVER),JOHN LEGEND,COLUMBIA,9,3,December 27 2019
9,10,            29,        ,I WISH IT COULD BE CHRISTMAS EVERYDAY,WIZZARD,EMI,10,57,December 27 2019
10,11,            24,        ,IT'S BEGINNING TO LOOK A LOT LIKE,MICHAEL BUBLE,REPRISE,7,33,December 27 2019
11,12,            3,        ,BEFORE YOU GO,LEWIS CAPALDI,EMI,2,6,December 27 2019
12,13,            28,        ,SANTA TELL ME,ARIANA GRANDE,REPUBLIC RECORDS,13,18,December 27 2019
13,14,            4,        ,DON'T START NOW,DUA LIPA,WARNER RECORDS,2,8,December 27 2019
14,15,            25,        ,ONE MORE SLEEP,LEONA LEWIS,SYCO MUSIC,3,23,December 27 2019
15,16,            7,        ,ROXANNE,ARIZONA ZERVAS,SONY MUSIC,5,8,December 27 2019
16,17,            36,        ,SANTA'S COMING FOR US,SIA,ATLANTIC/MONKEY PUZZLE,17,12,December 27 2019
17,18,            32,        ,ROCKIN' AROUND THE CHRISTMAS TREE,BRENDA LEE,MCA,6,47,December 27 2019
18,19,            31,        ,MERRY XMAS EVERYBODY,SLADE,UMTV,1,98,December 27 2019
19,20,            10,        ,DANCE MONKEY,TONES & I,PARLOPHONE,1,21,December 27 2019
20,21,            33,        ,UNDERNEATH THE TREE,KELLY CLARKSON,RCA,21,19,December 27 2019
21,22,            43,        ,COZY LITTLE CHRISTMAS,KATY PERRY,VIRGIN,22,7,December 27 2019
22,23,            13,        ,EVERYTHING I WANTED,BILLIE EILISH,INTERSCOPE,3,6,December 27 2019
23,24,            42,        ,DRIVING HOME FOR CHRISTMAS,CHRIS REA,WARNER BROS,11,56,December 27 2019
24,25,            46,        ,IT'S THE MOST WONDERFUL TIME OF THE YEAR,ANDY WILLIAMS,SONY MUSIC,17,35,December 27 2019
25,26,            12,        ,ADORE YOU,HARRY STYLES,COLUMBIA,11,3,December 27 2019
26,27,            47,        ,MISTLETOE,JUSTIN BIEBER,DEF JAM,21,23,December 27 2019
27,28,            53,        ,HAPPY XMAS (WAR IS OVER),JOHN & YOKO/PLASTIC ONO BAND,APPLE CORPS,18,38,December 27 2019
28,29,            62,        ,CHRISTMAS LIGHTS,COLDPLAY,PARLOPHONE,13,29,December 27 2019
29,30,            61,        ,JINGLE BELL ROCK,BOBBY HELMS,MCA,30,10,December 27 2019
30,31,            66,        ,WHITE CHRISTMAS,BING CROSBY,DECCA,5,34,December 27 2019
31,32,            64,        ,HOLLY JOLLY CHRISTMAS,MICHAEL BUBLE,REPRISE,32,14,December 27 2019
32,33,            70,        ,CHRISTMAS (BABY PLEASE COME HOME),DARLENE LOVE,LEGACY RECORDINGS,22,8,December 27 2019
33,34,            69,        ,SLEIGH RIDE,RONETTES,SONY MUSIC,34,10,December 27 2019
34,35,            73,        ,STAY ANOTHER DAY,EAST 17,LONDON,1,49,December 27 2019
35,36,            23,        ,PUMP IT UP,ENDOR,DEFECTED,20,11,December 27 2019
36,37,            67,        ,WONDERFUL CHRISTMASTIME,PAUL MCCARTNEY,PARLOPHONE,6,32,December 27 2019
37,38,            6,        ,AUDACITY,STORMZY FT HEADIE ONE,ATLANTIC/MERKY,6,2,December 27 2019
38,39,            75,        ,LET IT SNOW LET IT SNOW LET IT SNOW,DEAN MARTIN,CAPITOL,39,19,December 27 2019
39,40,            Re,        ,VOSSI BOP,STORMZY,MERKY,1,32,December 27 2019
40,41,            20,        ,BLINDING LIGHTS,WEEKND,REPUBLIC RECORDS,12,4,December 27 2019
41,42,            82,        ,CHRISTMAS TIME (DON'T LET THE BELLS END),DARKNESS,MUST DESTROY,2,30,December 27 2019
42,43,            22,        ,LOSE YOU TO LOVE ME,SELENA GOMEZ,INTERSCOPE,3,10,December 27 2019
43,44,            30,        ,THIS IS REAL,JAX JONES FT ELLA HENDERSON,POLYDOR,18,14,December 27 2019
44,45,            26,        ,FALLING,TREVOR DANIEL,ALAMO,26,5,December 27 2019
45,46,            89,        ,SANTA CLAUS IS COMING TO TOWN,MICHAEL JACKSON & JACKSON FIVE,MOTOWN,30,6,December 27 2019
46,47,            87,        ,MARY'S BOY CHILD/OH MY LORD,BONEY M,SONY MUSIC,26,19,December 27 2019
47,48,            Re,        ,LIGHTS UP,HARRY STYLES,COLUMBIA,3,10,December 27 2019
48,49,            50,        ,MY OH MY,CAMILA CABELLO FT DABABY,SYCO MUSIC,49,3,December 27 2019
49,50,            18,        ,WATERMELON SUGAR,HARRY STYLES,COLUMBIA,18,6,December 27 2019
50,51,            97,        ,THE CHRISTMAS SONG,NAT KING COLE,LAFACE,51,9,December 27 2019
51,52,            91,        ,SOMEWHERE ONLY WE KNOW,LILY ALLEN,PARLOPHONE,1,18,December 27 2019
52,53,            83,        ,LIKE IT'S CHRISTMAS,JONAS BROTHERS,REPUBLIC RECORDS,53,2,December 27 2019
53,54,            96,        ,FELIZ NAVIDAD,JOSE FELICIANO,PROPER,54,5,December 27 2019
54,55,            Re,        ,SANTA BABY,EARTHA KITT,RCA,55,10,December 27 2019
55,56,            Re,        ,STOP THE CAVALRY,JONA LEWIE,STIFF,3,23,December 27 2019
56,57,            1,        ,I LOVE SAUSAGE ROLLS,LADBABY,FRTYFVE,1,2,December 27 2019
57,58,            38,        ,SOMEONE YOU LOVED,LEWIS CAPALDI,EMI,1,52,December 27 2019
58,59,            37,        ,DON'T RUSH,YOUNG T & BUGSEY FT HEADIE ONE,BLACK BUTTER,27,7,December 27 2019
59,60,            41,        ,MEMORIES,MAROON 5,INTERSCOPE,5,14,December 27 2019
60,61,            Re,        ,2000 MILES,PRETENDERS,RHINO,15,21,December 27 2019
61,62,            44,        ,INTO THE UNKNOWN,IDINA MENZEL & AURORA,WALT DISNEY,36,5,December 27 2019
62,63,            Re,        ,IT'S BEGINNING TO LOOK A LOT LIKE,PERRY COMO,RCA,47,11,December 27 2019
63,64,            27,        ,LUCID DREAMS,JUICE WRLD,INTERSCOPE,10,33,December 27 2019
64,65,            Re,        ,LET IT SNOW LET IT SNOW LET IT SNOW,FRANK SINATRA,SONY MUSIC,65,3,December 27 2019
65,66,            35,        ,HEARTLESS,WEEKND,REPUBLIC RECORDS/XO,10,5,December 27 2019
66,67,            Re,        ,HAVE YOURSELF A MERRY LITTLE CHRISTMAS,SAM SMITH,CAPITOL,65,6,December 27 2019
67,68,            Re,        ,BLUE CHRISTMAS,ELVIS PRESLEY,RCA,11,11,December 27 2019
68,69,            Re,        ,LONELY THIS CHRISTMAS,MUD,EMI,1,20,December 27 2019
69,70,            New,        ,MAN WITH THE BAG,JESSIE J,LAVA/REPUBLIC RECORDS,70,1,December 27 2019
70,71,            Re,        ,CHRISTMAS WRAPPING,WAITRESSES,POLYDOR,45,9,December 27 2019
71,72,            Re,        ,SANTA CLAUS IS COMIN' TO TOWN,BRUCE SPRINGSTEEN,SONY MUSIC,48,7,December 27 2019
72,73,            New,        ,ALL I WANT (FOR CHRISTMAS),LIAM PAYNE,CAPITOL,73,1,December 27 2019
73,74,            Re,        ,SANTA BABY,KYLIE MINOGUE,PARLOPHONE,38,17,December 27 2019
74,75,            40,        ,NETFLIX & CHILL,FREDO,SINCE 93,13,7,December 27 2019
75,76,            45,        ,RIDE IT,REGARD,MINISTRY OF SOUND,2,19,December 27 2019
76,77,            Re,        ,SANTA CLAUS IS COMING TO TOWN,MICHAEL BUBLE,REPRISE,77,6,December 27 2019
77,78,            15,        ,BRUISES,LEWIS CAPALDI,EMI,6,30,December 27 2019
78,79,            52,        ,BETTER HALF OF ME,TOM WALKER,RELENTLESS,38,9,December 27 2019
79,80,            Re,        ,THE POWER OF LOVE,GABRIELLE APLIN,PARLOPHONE,1,17,December 27 2019
80,81,            Re,        ,MISTLETOE AND WINE,CLIFF RICHARD,EMI,1,14,December 27 2019
81,82,            Re,        ,YOU MAKE IT FEEL LIKE CHRISTMAS,GWEN STEFANI FT BLAKE SHELTON,INTERSCOPE,71,5,December 27 2019
82,83,            Re,        ,RUN RUDOLPH RUN,CHUCK BERRY,UMC,83,2,December 27 2019
83,84,            54,        ,LOSE CONTROL,MEDUZA/BECKY HILL/GOODBOYS,POLYDOR,11,11,December 27 2019
84,85,            49,        ,DOWN LIKE THAT,KSI/RICK ROSS/LIL BABY/S-X,BMG,10,7,December 27 2019
85,86,            New,        ,THANK GOD IT'S CHRISTMAS,QUEEN,EMI,86,1,December 27 2019
